"Subject Area","School or College","Department or Institute","Former Name of Subject Area","class.code"
"Natural Resources and the Environment (NRE)","CAHNR","Natural Resources and the Environment","Natural Resources and Engineering (NRME)","NRE"
"Nursing (NURS)","Nursing","","","NURS"
"Nutritional Sciences (NUSC)","CAHNR","Nutritional Sciences","","NUSC"
"Occupational Safety and Health (OSH)","CETL","","","OSH"
"Operations and Information Management (OPIM)","Business","","","OPIM"
"Pathobiology and Veterinary Science (PVS)","CAHNR","Pathobiology and Veterinary Science","","PVS"
"Pharmacy (PHAR)","Pharmacy","","","PHAR"
"Philosophy (PHIL)","CLAS","Philosophy","","PHIL"
"Physical Therapy (PT)","","","","PT"
"Physics (PHYS)","CLAS","Physics","","PHYS"
"Physiology and Neurobiology (PNB)","CLAS","Physiology and Neurobiology","","PNB"
"Plant Science (PLSC)","CANHR","","","PLSC"
"Policy Practice (POPR)","","","","POPR"
"Political Science (POLS)","CLAS","Political Science","","POLS"
"Polymer Science (POLY)","","","","POLY"
"Portuguese (PORT)","CLAS","Literatures, Cultures, and Languages","","PORT"
"Psychological Sciences (PSYC)","CLAS","Psychological Sciences","","PSYC"
"Public Health (PUBH)","Med. School","Community Health","","PUBH"
"Public Policy (PP)","CLAS","","","PP"
"Romance Language (ROML)","CLAS","Literatures, Cultures, and Languages","","ROML"
"Social Work (SSW)","","","","SSW"
"Social Work Elective (SWEL)","","","","SWEL"
"Social Work Research (RSCH)","","","","RSCH"
"Social Work Special Topics (SPTP)","","","","SPTP"
"Sociology (SOCI)","CLAS","Sociology","","SOCI"
"Spanish (SPAN)","CLAS","Literatures, Cultures, and Languages","","SPAN"
"Speech, Language and Hearing Sciences (SLHS)","CLAS","Speech, Language and Hearing Sciences","Communication Disorders (CDIS)","SLHS"
"Statistics (STAT)","CLAS","Statistics","","STAT"
"Systems Engineering (SE)","","","","SE"
"Translation Studies (TRST)","CLAS","Literatures, Cultures, and Languages","","TRST"
"Women’s, Gender, and Sexuaity Studies (WGSS)","CLAS","Women’s, Gender, and Sexuality Studies","Women’s Studies (WS)","WGSS"
